mode: set
claude-squad/main.go:28.55,45.18 6 0
claude-squad/daemon/daemon.go:300.45,302.3 1 0
claude-squad/daemon/daemon.go:305.2,306.48 2 0
claude-squad/daemon/daemon.go:306.48,307.38 1 0
claude-squad/daemon/daemon.go:307.38,311.26 2 0
claude-squad/daemon/daemon.go:311.26,315.5 2 0
claude-squad/daemon/daemon.go:315.10,317.5 1 0
claude-squad/daemon/daemon.go:322.2,322.27 1 0
claude-squad/daemon/daemon.go:322.27,328.46 4 0
claude-squad/daemon/daemon.go:328.46,330.4 1 0
claude-squad/daemon/daemon.go:333.2,333.12 1 0
claude-squad/daemon/daemon.go:337.27,340.16 2 0
claude-squad/daemon/daemon.go:340.16,342.3 1 0
claude-squad/daemon/daemon.go:344.2,354.36 6 0
claude-squad/daemon/daemon.go:354.36,356.3 1 0
claude-squad/daemon/daemon.go:358.2,362.16 3 0
claude-squad/daemon/daemon.go:362.16,364.3 1 0
claude-squad/daemon/daemon.go:366.2,367.96 2 0
claude-squad/daemon/daemon.go:367.96,369.3 1 0
claude-squad/daemon/daemon.go:372.2,372.12 1 0
claude-squad/daemon/daemon.go:377.25,379.16 2 0
claude-squad/daemon/daemon.go:379.16,381.3 1 0
claude-squad/daemon/daemon.go:383.2,385.16 3 0
claude-squad/daemon/daemon.go:385.16,386.25 1 0
claude-squad/daemon/daemon.go:386.25,388.4 1 0
claude-squad/daemon/daemon.go:389.3,389.56 1 0
claude-squad/daemon/daemon.go:392.2,393.64 2 0
claude-squad/daemon/daemon.go:393.64,395.3 1 0
claude-squad/daemon/daemon.go:397.2,398.16 2 0
claude-squad/daemon/daemon.go:398.16,400.3 1 0
claude-squad/daemon/daemon.go:402.2,402.36 1 0
claude-squad/daemon/daemon.go:402.36,404.3 1 0
claude-squad/daemon/daemon.go:407.2,407.43 1 0
claude-squad/daemon/daemon.go:407.43,409.3 1 0
claude-squad/daemon/daemon.go:411.2,412.12 2 0
claude-squad/daemon/daemon_unix.go:10.44,14.2 1 0
claude-squad/cmd/commands/git.go:26.44,28.2 1 0
claude-squad/cmd/commands/git.go:31.61,32.36 1 0
claude-squad/cmd/commands/git.go:32.36,36.3 3 0
claude-squad/cmd/commands/git.go:37.2,37.12 1 0
claude-squad/cmd/commands/git.go:41.61,43.36 2 0
claude-squad/cmd/commands/git.go:43.36,47.3 3 0
claude-squad/cmd/commands/git.go:48.2,48.12 1 0
claude-squad/cmd/commands/git.go:52.63,54.38 2 0
claude-squad/cmd/commands/git.go:54.38,58.3 3 0
claude-squad/cmd/commands/git.go:59.2,59.12 1 0
claude-squad/cmd/commands/git.go:63.62,65.37 2 0
claude-squad/cmd/commands/git.go:65.37,69.3 3 0
claude-squad/cmd/commands/git.go:70.2,70.12 1 0
claude-squad/cmd/commands/git.go:74.62,75.37 1 0
claude-squad/cmd/commands/git.go:75.37,79.3 3 0
claude-squad/cmd/commands/git.go:80.2,80.12 1 0
claude-squad/cmd/commands/git.go:84.58,85.33 1 0
claude-squad/cmd/commands/git.go:85.33,89.3 3 0
claude-squad/cmd/commands/git.go:90.2,90.12 1 0
claude-squad/cmd/commands/git.go:94.63,95.38 1 0
claude-squad/cmd/commands/git.go:95.38,99.3 3 0
claude-squad/cmd/commands/git.go:100.2,100.12 1 0
claude-squad/cmd/commands/git.go:104.60,106.35 2 0
claude-squad/cmd/commands/git.go:106.35,110.3 3 0
claude-squad/cmd/commands/git.go:111.2,111.12 1 0
claude-squad/cmd/commands/git.go:115.56,116.31 1 0
claude-squad/cmd/commands/git.go:116.31,120.3 3 0
claude-squad/cmd/commands/git.go:121.2,121.12 1 0
claude-squad/cmd/commands/git.go:125.56,126.31 1 0
claude-squad/cmd/commands/git.go:126.31,130.3 3 0
claude-squad/cmd/commands/git.go:131.2,131.12 1 0
claude-squad/cmd/commands/git.go:135.64,136.39 1 0
claude-squad/cmd/commands/git.go:136.39,140.3 3 0
claude-squad/cmd/commands/git.go:141.2,141.12 1 0
claude-squad/cmd/commands/navigation.go:22.58,24.2 1 0
claude-squad/cmd/commands/navigation.go:27.54,28.36 1 0
claude-squad/cmd/commands/navigation.go:28.36,32.3 3 0
claude-squad/cmd/commands/navigation.go:33.2,33.12 1 0
claude-squad/cmd/commands/navigation.go:37.56,38.38 1 0
claude-squad/cmd/commands/navigation.go:38.38,42.3 3 0
claude-squad/cmd/commands/navigation.go:43.2,43.12 1 0
claude-squad/cmd/commands/navigation.go:47.56,48.38 1 0
claude-squad/cmd/commands/navigation.go:48.38,52.3 3 0
claude-squad/cmd/commands/navigation.go:53.2,53.12 1 0
claude-squad/cmd/commands/navigation.go:57.57,58.39 1 0
claude-squad/cmd/commands/navigation.go:58.39,62.3 3 0
claude-squad/cmd/commands/navigation.go:63.2,63.12 1 0
claude-squad/cmd/commands/navigation.go:67.58,68.40 1 0
claude-squad/cmd/commands/navigation.go:68.40,72.3 3 0
claude-squad/cmd/commands/navigation.go:73.2,73.12 1 0
claude-squad/cmd/commands/navigation.go:77.60,78.42 1 0
claude-squad/cmd/commands/navigation.go:78.42,82.3 3 0
claude-squad/cmd/commands/navigation.go:83.2,83.12 1 0
claude-squad/cmd/commands/navigation.go:87.58,88.40 1 0
claude-squad/cmd/commands/navigation.go:88.40,92.3 3 0
claude-squad/cmd/commands/navigation.go:93.2,93.12 1 0
claude-squad/cmd/commands/organization.go:18.62,20.2 1 0
claude-squad/cmd/commands/organization.go:23.64,24.48 1 0
claude-squad/cmd/commands/organization.go:24.48,28.3 3 0
claude-squad/cmd/commands/organization.go:29.2,29.12 1 0
claude-squad/cmd/commands/organization.go:33.64,34.48 1 0
claude-squad/cmd/commands/organization.go:34.48,38.3 3 0
claude-squad/cmd/commands/organization.go:39.2,39.12 1 0
claude-squad/cmd/commands/organization.go:43.63,44.47 1 0
claude-squad/cmd/commands/organization.go:44.47,48.3 3 0
claude-squad/cmd/commands/organization.go:49.2,49.12 1 0
claude-squad/cmd/commands/session.go:21.52,23.2 1 0
claude-squad/cmd/commands/session.go:26.62,27.41 1 0
claude-squad/cmd/commands/session.go:27.41,31.3 3 0
claude-squad/cmd/commands/session.go:32.2,32.12 1 0
claude-squad/cmd/commands/session.go:36.63,37.42 1 0
claude-squad/cmd/commands/session.go:37.42,41.3 3 0
claude-squad/cmd/commands/session.go:42.2,42.12 1 0
claude-squad/cmd/commands/session.go:46.65,47.44 1 0
claude-squad/cmd/commands/session.go:47.44,51.3 3 0
claude-squad/cmd/commands/session.go:52.2,52.12 1 0
claude-squad/cmd/commands/session.go:56.60,57.39 1 0
claude-squad/cmd/commands/session.go:57.39,61.3 3 0
claude-squad/cmd/commands/session.go:62.2,62.12 1 0
claude-squad/cmd/commands/session.go:66.58,67.37 1 0
claude-squad/cmd/commands/session.go:67.37,71.3 3 0
claude-squad/cmd/commands/session.go:72.2,72.12 1 0
claude-squad/log/log.go:39.36,49.2 1 0
claude-squad/log/log.go:55.37,57.16 2 1
claude-squad/log/log.go:57.16,59.3 1 0
claude-squad/log/log.go:60.2,60.53 1 1
claude-squad/log/log.go:64.48,66.36 1 1
claude-squad/log/log.go:66.36,68.3 1 1
claude-squad/log/log.go:71.2,71.37 1 1
claude-squad/log/log.go:71.37,73.3 1 1
claude-squad/log/log.go:76.2,77.16 2 1
claude-squad/log/log.go:77.16,79.3 1 0
claude-squad/log/log.go:81.2,83.50 2 1
claude-squad/log/log.go:83.50,85.3 1 0
claude-squad/log/log.go:87.2,87.20 1 1
claude-squad/log/log.go:91.53,94.16 2 1
claude-squad/log/log.go:94.16,96.3 1 0
claude-squad/log/log.go:98.2,98.54 1 1
claude-squad/log/log.go:102.78,105.16 2 1
claude-squad/log/log.go:105.16,107.3 1 0
claude-squad/log/log.go:110.2,110.49 1 1
claude-squad/log/log.go:110.49,111.105 1 1
claude-squad/log/log.go:111.105,113.4 1 1
claude-squad/log/log.go:114.3,114.13 1 1
claude-squad/log/log.go:117.2,117.81 1 1
claude-squad/log/log.go:121.67,123.58 1 1
claude-squad/log/log.go:123.58,125.3 1 1
claude-squad/log/log.go:128.2,128.57 1 1
claude-squad/log/log.go:128.57,130.3 1 0
claude-squad/log/log.go:133.2,134.16 2 1
claude-squad/log/log.go:134.16,136.3 1 0
claude-squad/log/log.go:139.2,149.42 3 1
claude-squad/log/log.go:149.42,151.3 1 1
claude-squad/log/log.go:154.2,156.21 2 1
claude-squad/log/log.go:160.71,161.57 1 1
claude-squad/log/log.go:161.57,163.16 1 1
claude-squad/log/log.go:164.15,165.67 1 1
claude-squad/log/log.go:166.18,167.70 1 0
claude-squad/log/log.go:168.16,169.68 1 0
claude-squad/log/log.go:171.3,171.9 1 1
claude-squad/log/log.go:175.2,176.16 2 1
claude-squad/log/log.go:176.16,179.16 2 0
claude-squad/log/log.go:180.15,181.67 1 0
claude-squad/log/log.go:182.18,183.70 1 0
claude-squad/log/log.go:184.16,185.68 1 0
claude-squad/log/log.go:187.3,187.9 1 0
claude-squad/log/log.go:191.2,191.15 1 1
claude-squad/log/log.go:192.14,195.66 2 1
claude-squad/log/log.go:196.17,199.69 2 1
claude-squad/log/log.go:200.15,203.67 2 1
claude-squad/log/log.go:217.13,222.20 2 1
claude-squad/log/log.go:222.20,224.3 1 1
claude-squad/log/log.go:225.2,225.23 1 1
claude-squad/log/log.go:225.23,227.3 1 1
claude-squad/log/log.go:228.2,228.21 1 1
claude-squad/log/log.go:228.21,230.3 1 1
claude-squad/log/log.go:237.30,241.2 2 0
claude-squad/log/log.go:244.63,246.27 1 0
claude-squad/log/log.go:246.27,248.3 1 0
claude-squad/log/log.go:251.2,251.27 1 0
claude-squad/log/log.go:255.68,259.2 2 0
claude-squad/log/log.go:262.73,264.39 1 1
claude-squad/log/log.go:264.39,267.51 2 1
claude-squad/log/log.go:267.51,268.65 1 0
claude-squad/log/log.go:272.3,273.17 2 1
claude-squad/log/log.go:273.17,274.58 1 0
claude-squad/log/log.go:276.3,276.11 1 1
claude-squad/log/log.go:280.2,287.3 1 1
claude-squad/log/log.go:291.56,296.16 3 0
claude-squad/log/log.go:296.16,300.3 2 0
claude-squad/log/log.go:303.2,309.12 4 0
claude-squad/log/log.go:309.12,311.3 1 0
claude-squad/log/log.go:312.2,317.42 4 0
claude-squad/log/log.go:317.42,319.3 1 0
claude-squad/log/log.go:322.2,322.27 1 0
claude-squad/log/log.go:325.14,327.26 1 0
claude-squad/log/log.go:327.26,329.3 1 0
claude-squad/log/log.go:332.2,332.41 1 0
claude-squad/log/log.go:332.41,333.29 1 0
claude-squad/log/log.go:333.29,335.4 1 0
claude-squad/log/log.go:339.2,339.45 1 0
claude-squad/log/log.go:348.45,350.2 1 0
claude-squad/log/log.go:353.34,354.20 1 0
claude-squad/log/log.go:354.20,358.3 3 0
claude-squad/log/log.go:360.2,360.9 1 0
claude-squad/log/log.go:361.19,363.14 2 0
claude-squad/log/log.go:364.10,365.15 1 0
claude-squad/ui/overlay/branchSelector.go:45.44,47.2 1 0
claude-squad/ui/overlay/branchSelector.go:50.45,52.15 2 0
claude-squad/ui/overlay/branchSelector.go:52.15,54.3 1 0
claude-squad/ui/overlay/branchSelector.go:56.2,57.14 2 0
claude-squad/ui/overlay/branchSelector.go:57.14,59.3 1 0
claude-squad/ui/overlay/branchSelector.go:62.2,64.24 3 0
claude-squad/ui/overlay/branchSelector.go:64.24,66.3 1 0
claude-squad/ui/overlay/branchSelector.go:66.8,66.31 1 0
claude-squad/ui/overlay/branchSelector.go:66.31,68.3 1 0
claude-squad/ui/overlay/branchSelector.go:68.8,68.33 1 0
claude-squad/ui/overlay/branchSelector.go:68.33,70.3 1 0
claude-squad/ui/overlay/branchSelector.go:70.8,70.34 1 0
claude-squad/ui/overlay/branchSelector.go:70.34,72.3 1 0
claude-squad/ui/overlay/branchSelector.go:72.8,74.3 1 0
claude-squad/ui/overlay/branchSelector.go:77.2,78.25 2 0
claude-squad/ui/overlay/branchSelector.go:78.25,80.3 1 0
claude-squad/ui/overlay/branchSelector.go:82.2,82.77 1 0
claude-squad/ui/overlay/branchSelector.go:86.36,88.2 1 0
claude-squad/ui/overlay/branchSelector.go:98.36,104.2 1 0
claude-squad/ui/overlay/branchSelector.go:107.65,113.2 4 0
claude-squad/ui/overlay/branchSelector.go:116.52,121.2 3 0
claude-squad/ui/overlay/branchSelector.go:124.53,129.36 4 0
claude-squad/ui/overlay/branchSelector.go:129.36,131.3 1 0
claude-squad/ui/overlay/branchSelector.go:134.2,134.43 1 0
claude-squad/ui/overlay/branchSelector.go:134.43,136.50 1 0
claude-squad/ui/overlay/branchSelector.go:136.50,138.4 1 0
claude-squad/ui/overlay/branchSelector.go:139.3,139.50 1 0
claude-squad/ui/overlay/branchSelector.go:139.50,141.4 1 0
claude-squad/ui/overlay/branchSelector.go:144.3,144.48 1 0
claude-squad/ui/overlay/branchSelector.go:144.48,146.4 1 0
claude-squad/ui/overlay/branchSelector.go:147.3,147.48 1 0
claude-squad/ui/overlay/branchSelector.go:147.48,149.4 1 0
claude-squad/ui/overlay/branchSelector.go:152.3,152.45 1 0
claude-squad/ui/overlay/branchSelector.go:155.2,155.17 1 0
claude-squad/ui/overlay/branchSelector.go:159.55,164.36 4 0
claude-squad/ui/overlay/branchSelector.go:164.36,165.21 1 0
claude-squad/ui/overlay/branchSelector.go:165.21,167.4 1 0
claude-squad/ui/overlay/branchSelector.go:171.2,171.43 1 0
claude-squad/ui/overlay/branchSelector.go:171.43,173.50 1 0
claude-squad/ui/overlay/branchSelector.go:173.50,175.4 1 0
claude-squad/ui/overlay/branchSelector.go:176.3,176.50 1 0
claude-squad/ui/overlay/branchSelector.go:176.50,178.4 1 0
claude-squad/ui/overlay/branchSelector.go:181.3,181.45 1 0
claude-squad/ui/overlay/branchSelector.go:184.2,184.17 1 0
claude-squad/ui/overlay/branchSelector.go:188.83,190.54 1 0
claude-squad/ui/overlay/branchSelector.go:190.54,192.3 1 0
claude-squad/ui/overlay/branchSelector.go:195.2,195.20 1 0
claude-squad/ui/overlay/branchSelector.go:195.20,196.56 1 0
claude-squad/ui/overlay/branchSelector.go:196.56,199.4 1 0
claude-squad/ui/overlay/branchSelector.go:202.2,204.12 2 0
claude-squad/ui/overlay/branchSelector.go:208.64,220.16 4 0
claude-squad/ui/overlay/branchSelector.go:220.16,222.3 1 0
claude-squad/ui/overlay/branchSelector.go:224.2,225.29 2 0
claude-squad/ui/overlay/branchSelector.go:225.29,226.17 1 0
claude-squad/ui/overlay/branchSelector.go:226.17,227.12 1 0
claude-squad/ui/overlay/branchSelector.go:231.3,232.21 2 0
claude-squad/ui/overlay/branchSelector.go:232.21,233.12 1 0
claude-squad/ui/overlay/branchSelector.go:236.3,242.17 5 0
claude-squad/ui/overlay/branchSelector.go:242.17,244.4 1 0
claude-squad/ui/overlay/branchSelector.go:246.3,248.21 3 0
claude-squad/ui/overlay/branchSelector.go:248.21,250.4 1 0
claude-squad/ui/overlay/branchSelector.go:253.3,266.19 4 0
claude-squad/ui/overlay/branchSelector.go:269.2,269.12 1 0
claude-squad/ui/overlay/branchSelector.go:273.65,285.16 4 0
claude-squad/ui/overlay/branchSelector.go:285.16,287.3 1 0
claude-squad/ui/overlay/branchSelector.go:289.2,290.29 2 0
claude-squad/ui/overlay/branchSelector.go:290.29,291.17 1 0
claude-squad/ui/overlay/branchSelector.go:291.17,292.12 1 0
claude-squad/ui/overlay/branchSelector.go:296.3,297.21 2 0
claude-squad/ui/overlay/branchSelector.go:297.21,298.12 1 0
claude-squad/ui/overlay/branchSelector.go:302.3,304.27 3 0
claude-squad/ui/overlay/branchSelector.go:304.27,305.12 1 0
claude-squad/ui/overlay/branchSelector.go:308.3,312.21 3 0
claude-squad/ui/overlay/branchSelector.go:312.21,313.12 1 0
claude-squad/ui/overlay/branchSelector.go:316.3,321.17 4 0
claude-squad/ui/overlay/branchSelector.go:321.17,323.4 1 0
claude-squad/ui/overlay/branchSelector.go:325.3,327.21 3 0
claude-squad/ui/overlay/branchSelector.go:327.21,329.4 1 0
claude-squad/ui/overlay/branchSelector.go:332.3,346.19 4 0
claude-squad/ui/overlay/branchSelector.go:349.2,349.12 1 0
claude-squad/ui/overlay/branchSelector.go:360.74,364.12 2 0
claude-squad/ui/overlay/branchSelector.go:364.12,365.73 1 0
claude-squad/ui/overlay/branchSelector.go:365.73,367.4 1 0
claude-squad/ui/overlay/branchSelector.go:370.2,374.3 1 0
claude-squad/ui/overlay/branchSelector.go:378.76,380.84 1 0
claude-squad/ui/overlay/branchSelector.go:380.84,381.79 1 0
claude-squad/ui/overlay/branchSelector.go:381.79,383.4 1 0
claude-squad/ui/overlay/branchSelector.go:387.2,388.22 2 0
claude-squad/ui/overlay/branchSelector.go:388.22,390.3 1 0
claude-squad/ui/overlay/branchSelector.go:390.8,392.3 1 0
claude-squad/ui/overlay/branchSelector.go:395.2,396.34 2 0
claude-squad/ui/overlay/branchSelector.go:396.34,398.3 1 0
claude-squad/ui/overlay/branchSelector.go:400.2,400.19 1 0
claude-squad/ui/overlay/branchSelector.go:404.45,406.2 1 0
claude-squad/ui/overlay/branchSelector.go:409.72,411.2 1 0
claude-squad/ui/overlay/confirmationOverlay.go:29.66,38.2 1 0
claude-squad/ui/overlay/confirmationOverlay.go:42.67,43.22 1 0
claude-squad/ui/overlay/confirmationOverlay.go:44.20,46.25 2 0
claude-squad/ui/overlay/confirmationOverlay.go:46.25,48.4 1 0
claude-squad/ui/overlay/confirmationOverlay.go:49.3,49.14 1 0
claude-squad/ui/overlay/confirmationOverlay.go:50.26,52.24 2 0
claude-squad/ui/overlay/confirmationOverlay.go:52.24,54.4 1 0
claude-squad/ui/overlay/confirmationOverlay.go:55.3,55.14 1 0
claude-squad/ui/overlay/confirmationOverlay.go:56.10,58.15 1 0
claude-squad/ui/overlay/confirmationOverlay.go:63.71,78.2 3 0
claude-squad/ui/overlay/confirmationOverlay.go:82.45,84.2 1 0
claude-squad/ui/overlay/confirmationOverlay.go:87.51,89.2 1 0
claude-squad/ui/overlay/confirmationOverlay.go:92.68,94.2 1 0
claude-squad/ui/overlay/confirmationOverlay.go:97.57,99.2 1 0
claude-squad/ui/overlay/confirmationOverlay.go:102.56,104.2 1 0
claude-squad/ui/overlay/directoryBrowser.go:37.47,39.2 1 0
claude-squad/ui/overlay/directoryBrowser.go:42.48,43.13 1 0
claude-squad/ui/overlay/directoryBrowser.go:43.13,46.3 2 0
claude-squad/ui/overlay/directoryBrowser.go:47.2,47.15 1 0
claude-squad/ui/overlay/directoryBrowser.go:51.39,53.2 1 0
claude-squad/ui/overlay/directoryBrowser.go:70.42,77.2 1 0
claude-squad/ui/overlay/directoryBrowser.go:80.75,89.48 6 0
claude-squad/ui/overlay/directoryBrowser.go:89.48,91.3 1 0
claude-squad/ui/overlay/directoryBrowser.go:94.2,95.16 2 0
claude-squad/ui/overlay/directoryBrowser.go:95.16,97.3 1 0
claude-squad/ui/overlay/directoryBrowser.go:100.2,101.35 2 0
claude-squad/ui/overlay/directoryBrowser.go:101.35,103.43 1 0
claude-squad/ui/overlay/directoryBrowser.go:103.43,104.12 1 0
claude-squad/ui/overlay/directoryBrowser.go:107.3,110.20 2 0
claude-squad/ui/overlay/directoryBrowser.go:110.20,112.18 2 0
claude-squad/ui/overlay/directoryBrowser.go:112.18,114.13 1 0
claude-squad/ui/overlay/directoryBrowser.go:117.4,124.6 1 0
claude-squad/ui/overlay/directoryBrowser.go:129.2,129.42 1 0
claude-squad/ui/overlay/directoryBrowser.go:129.42,131.3 1 0
claude-squad/ui/overlay/directoryBrowser.go:134.2,139.21 5 0
claude-squad/ui/overlay/directoryBrowser.go:143.58,148.32 3 0
claude-squad/ui/overlay/directoryBrowser.go:148.32,149.18 1 0
claude-squad/ui/overlay/directoryBrowser.go:149.18,151.13 1 0
claude-squad/ui/overlay/directoryBrowser.go:151.13,154.5 2 0
claude-squad/ui/overlay/directoryBrowser.go:155.4,155.10 1 0
claude-squad/ui/overlay/directoryBrowser.go:160.2,163.25 2 0
claude-squad/ui/overlay/directoryBrowser.go:163.25,165.3 1 0
claude-squad/ui/overlay/directoryBrowser.go:169.58,178.2 5 0
claude-squad/ui/overlay/directoryBrowser.go:196.59,205.2 2 0
claude-squad/ui/overlay/directoryBrowser.go:208.79,210.68 1 0
claude-squad/ui/overlay/directoryBrowser.go:210.68,213.36 2 0
claude-squad/ui/overlay/directoryBrowser.go:213.36,215.18 2 0
claude-squad/ui/overlay/directoryBrowser.go:215.18,217.5 1 0
claude-squad/ui/overlay/directoryBrowser.go:218.4,218.27 1 0
